date,competitor,name,group,params,price,article
18.06.2024,Sunlight,"
    Серебряный браслет с фианитами и шпинелью
  ",Браслеты,"{'Модель': 'S7592-B9W-02', 'Материал изделия': 'Серебро', 'Покрытие': 'Родий', 'Вставка': 'Шпинель синтетическая, Фианит', 'Вес изделия': '4.81 г'}",2990,63285
18.06.2024,Sunlight,"
    Золотое обручальное кольцо с бриллиантами
  ",Кольца,"{'Модель': '72109-K5R-02', 'Материал изделия': 'Розовое золото', 'Покрытие': 'с элементами родия', 'Вставка': 'Бриллиант', 'Ширина кольца': '3,8 мм', 'Страна производства': 'Россия', 'Вес изделия': '1.31 г'}",15995,303502
18.06.2024,Sunlight,"
    Серебряная цепь
  ",Цепи,"{'Модель': 'НЦ 22-022Ю-3 0,40', 'Материал изделия': 'Серебро', 'Покрытие': 'Родий', 'Ширина цепи': '0,72 мм', 'Плетение': 'Снейк', 'Страна производства': 'Россия', 'Вес изделия': '1.7 г'}",990,331077
18.06.2024,Sunlight,"
    Золотая подвеска с сапфирами
  ",Подвески,"{'Модель': '70170-P5M-01', 'Материал изделия': 'Белое золото, Розовое золото', 'Покрытие': 'с элементами родия', 'Вставка': 'Сапфир', 'Страна производства': 'Россия', 'Вес изделия': '0.8 г'}",10990,351569
18.06.2024,Sunlight,"
    Серебряное колье с фианитами
  ",Колье,"{'Модель': 'Ср925Р-847603040', 'Материал изделия': 'Серебро', 'Покрытие': 'Родий', 'Вставка': 'Фианит', 'Страна производства': 'Россия', 'Вес изделия': '2.64 г'}",1490,158396
18.06.2024,Sunlight,"
    Золотые серьги с фианитами
  ",Серьги,"{'Модель': '40175100*', 'Материал изделия': 'Розовое золото', 'Вставка': 'Фианит', 'Страна производства': 'Россия', 'Вес изделия': '1.86 г'}",14990,131101
18.06.2024,Sunlight,"
    Золотые серьги с фианитами и аметистом
  ",Серьги,"{'Модель': 'С122-6036Ам*', 'Материал изделия': 'Розовое золото', 'Покрытие': 'с элементами родия', 'Вставка': 'Аметист, Фианит', 'Страна производства': 'Россия', 'Вес изделия': '1.85 г'}",13490,187861
18.06.2024,Sunlight,"
    Золотая цепь
  ",Цепи,"{'Модель': '8050154П-50*', 'Материал изделия': 'Розовое золото', 'Ширина цепи': '3,16 мм', 'Плетение': 'Ромб двойной', 'Страна производства': 'Россия', 'Вес изделия': '3.2 г'}",18528,35525
18.06.2024,Sunlight,"
    Серебряное кольцо с фианитами
  ",Кольца,"{'Модель': 'S60700-K9W-01', 'Материал изделия': 'Серебро', 'Покрытие': 'Родий', 'Вставка': 'Фианит', 'Вес изделия': '1.9 г'}",1190,103749
18.06.2024,Sunlight,"
    Золотая цепь
  ",Цепи,"{'Модель': 'НЦ 12-200 0,50*', 'Материал изделия': 'Розовое золото', 'Ширина цепи': '3,08 мм', 'Плетение': 'Нонна', 'Страна производства': 'Россия', 'Вес изделия': '6.35 г'}",33592,46797
18.06.2024,Sunlight,"
    Серебряное кольцо с фианитами
  ",Кольца,"{'Модель': 'S1007-K9W-01', 'Материал изделия': 'Серебро', 'Покрытие': 'Родий', 'Вставка': 'Фианит', 'Вес изделия': '1.62 г'}",1490,14617
18.06.2024,Sunlight,"
    Золотое кольцо с бриллиантами
  ",Кольца,"{'Модель': '2651-K5R-04', 'Материал изделия': 'Розовое золото', 'Покрытие': 'с элементами родия', 'Вставка': 'Бриллиант', 'Ширина кольца': '6,7 мм', 'Страна производства': 'Россия', 'Вес изделия': '0.62 г'}",6490,345055
